id;street_address;postal_code;city;state_province
1;yet;cone revitalise;Aricborough;pure
2;implode huzzah;oh doubter;Ullrichburgh;greatly thoroughly
3;round screw;beside connect gadzooks;Davonteside;lovable
4;pendant often while;grandiose;Federal Way;who
5;bah;standard;Louisville/Jefferson County;while bathrobe indolent
6;anti in;inwardly hm belabor;Huntington Park;whimsical underneath
7;up;alongside bin if;East Hope;hm humidity igloo
8;ugh tomatillo;toady mask;Dawnburgh;extent behest
9;maestro;bright amid phooey;East Francochester;harvest barring
10;up;grown;Santa Cruz;whoa even ew
